VIN,Color,WheelID,Upholstry,Model,ManufacturerID,InventoryID,SaleID
RE9ZVILYLWAQUEO9A,Yas Marina Blue Metallic,975012,Black Extended Merino Leather,M3 Sedan,640178,926939,920238
M1HUOZNKF2Q3C3CI7,Alpine White,474220,Black Vernasca Leather with Brown ContrastStitching,xDrive50i,485976,759925,463840
7ZLNEW6BC0DJ56DM7,Austin Yellow Metallic,133259,Black,M3 Sedan,464607,781594,782158
K7L8DVZQB3QN2ST4T,Jet Black,651095,Black SensaTec,530i xDrive Sedan,735970,893512,680854
5HDIQDG2HJ5NJW90J,Dark Graphite Metallic,949562,Mocha Dakota Leather,740i xDrive Sedan,245207,322252,739757
XD3XXT4GLXQHKYQOY,Sakhir Orange Metallic,584469,Silverstone Extended Merino Leather,M4 Coupe,886045,537562,563317
AVZMLQWHXT9DM3C7L,Sakhir Orange Metallic,975012,Black Full Merino Leather,M4 Convertible,43685,362018,391865
KDQA8PQCSOMECK1MV,Black Sapphire Metallic,149049,Black Extended Merino Leather,M6 Gran Coupe,109023,722108,982074
KL9RMN1AOK6ZAU17L,Alpine White,307910,Black with Blue Highlight Dakota Leather,sDrive28i,263568,858811,674777
BPZALV7F4GN4XICNV,Carbon Black Metallic,619674,piping,M40i,667402,947929,595385
TXJ69A9KU54WUANE6,Sunset Orange Metallic,426663,Cognac Vernasca Leather with contrast stitching,330i xDrive Sports Wagon,946591,999784,587066
19TRRQT0XAT0SVLMK,Glacier Silver Metallic,825480,Black SensaTecm,530i Sedan,467878,412858,394630
VNIC9G3UDKYGTRSS1,Dark Olive Metallic,808608,piping,sDrive30i,383543,813148,255321
VUMTE0GJRYRBHUXUM,Alpine White,870264,Black Dakota Leather with orange stitching,M2 Competition,777585,833306,879632
GYHAF34DI8HA7FZC4,Jet Black,231782,Canberra Beige Dakota Leather,740i xDrive Sedan,620443,660253,583894
OK1RS5SAXD0UGHBWT,Jatoba Brown Metallic,949562,Mocha Dakota Leather,M850i xDrive Coupe,165533,369509,363587
D3P3N5NES5A9YNQ9I,Glacier Silver Metallic,710724,piping,530i Sedan,332849,360376,542205
DKYQ26J7NJ32XBEQG,Alpine White,92281,Aragon Brown Full Merino Leather,M5 Sedan,718718,351820,301327
N9OVR5V1ZTW9EN9BY,Alpine White,34893,piping,M550i xDrive Sedan,425113,587983,781850
L9NE1ML1LKALH0B1G,Glacier Silver Metallic,63978,Amaro Brown Extended Merino Leather,xDrive50i,325320,568866,150442
E019VM0Y7FCC1NDYG,Dark Graphite Metallic,408534,Cognac Vernasca Leather with contrast stitching,xDrive35i,328531,551261,853136
L2OBUY2HL9RI913MK,Jet Black,355167,Black Vernasca Leather with contrast stitching,xDrive50i,865842,737558,69413
4E7WLZK8HTOKV7Q2L,Mediterranean Blue Metallic,618378,Black SensaTec,Z4 sDrive30i,172538,945989,12808
B1OBX0021KGB6YZ4X,Glacier Silver Metallic,329306,Ivory White and Black Dakota Leather,740i xDrive Sedan,515389,812462,222063
IS57IBCL9QB4XIZ1H,Magellan Gray Metallic,951204,Ivory White and Black Dakota Leather,740i Sedan,935757,646238,920092
RF418PH9SAXL8TL9V,San Marino Blue metallic,149049,Black Full Merino Leather,M6 Gran Coupe,119286,853649,906635
98JS7XJWGA0Y6XZU6,Imperial Blue Metallic,717237,piping,530i Sedan,61174,243570,955413
MWKBQHIL88EVGURI6,Glacier Silver Metallic,231782,Black Dakota Leather with orange stitching,740e xDrive iPerformance,508624,786083,32477
KHYPRZKZNG1AG75FV,Dark Olive Metallic,710724,Cognac Vernasca Leather with contrast stitching,sDrive30i,346276,294984,394879
QVYTFIUZZKLYE09X5,Phytonic Blue Metallic,645885,Black SensaTecm,M40i,856725,141730,280447
QAR1Q1A4GPVHV81W8,Sophisto Grey Metallic with BMW i Frozen Blue accent,164921,Giga Ivory White Full Perforated Leather,BMW i8 Roadster,218733,491113,15761
QOSBWW3Q3DA1B27U3,Black Sapphire Metallic,34893,Black Dakota Leather with orange stitching,M35i,78897,225257,550652
