ManufacturerID,SupplierID
400168,622393
366358,877692
214944,409922
498221,705790
188636,60533
557323,462479
47824,404797
533011,44221
682276,961574
237639,204722
849481,297
737827,235905
800330,342727
292580,300
735263,345143
494717,646489
180823,303
862124,304
506813,941709
103642,495283
878948,794766
78806,832089
306666,710585
365960,646093
596361,827273
371034,231234
287201,313
67377,917815
330199,317839
827250,611932
765013,293880
651619,240582
84308,493443
508235,638277
453750,87160
580095,238936
585886,953644
915014,417657
814143,264421
691712,817976
392105,692135
804175,328
13297,589018
213083,388788
958246,944551
8495,631114
203282,654644
194775,147516
648731,687072
364747,336
579352,787772
511106,642063
714380,532757
624611,31362
332531,341
310970,586137
101675,894874
564167,580876
357266,158111
719886,336270
877368,848248
798088,907164
910393,349
364013,816415
168423,979453
617465,61177
231154,848892
223256,812134
368702,505454
92188,863352
701867,872212
464684,740819
881073,941205
648183,941982
247758,474424
311590,384111
938876,41837
348478,476237
868675,214142
806573,525686
434756,300077
963003,846392
111949,683639
133322,1332
663759,628256
556815,577142
483374,32183
506433,247735
760469,996412
144354,372593
760246,973978
88286,759303
136698,417635
98367,380
480777,381
131174,218591
955936,317577
703799,730610
937243,534076
630638,86923
392704,185394
250853,518491
500449,360610
760023,34817
5991,190181
264573,569409
200440,93365
547716,718431
791653,705273
363665,33973
765324,373758
243382,679742
786614,198484
350572,161237
148376,125412
253456,389622
883547,970440
43454,204065
238448,474711
652084,248922
704432,845349
461388,408
485802,941556
708310,113112
817536,219170
633038,228461
138882,593259
308557,658892
771007,372904
41728,190746
558312,185847
883955,23823
328690,538196
328496,787935
280480,475746
589372,103736
157163,561798
429152,857985
543164,586680
691470,314308
972817,646472
869266,247331
536960,60118
714566,391220
870729,740997
825467,243394
936238,809947
12896,765013
702181,178902
688515,983665
197770,536620
871193,298490
839787,84479
6713,636936
329793,457180
871462,866711
168626,316672
252975,786935
287932,899238
231299,932847
336696,659255
70958,156568
834510,891012
6249,707167
30035,451
963971,760479
66330,496982
849991,711025
957722,698142
697400,175757
520407,331481
321517,873220
281587,612043
356314,416435
778274,674627
566427,75863
36693,802644
828345,878400
977363,209973
109230,360786
937979,330189
802176,282126
283908,643892
202451,629996
889774,916484
83122,472
92706,303096
420139,703924
182717,475
765808,480510
189275,859238
763196,8203
703198,423983
196104,705514
227890,326090
976005,65757
876947,14338
250084,470175
8902,737553
777145,682721
673480,487
86622,102133
201876,481655
167858,370665
539017,661874
319739,492
437541,985020
961869,494
195287,454903
179053,337584
251624,443894
474758,709681
41981,171701
