SupplierID,SupplierName,SupplierStreet,SupplierCounty,SupplierState,SupplierZip
99759,Nabors Industries Inc,120 WETMORE ST,Milwaukee,Montana,72873
112141,First American Financial Corp.,1 PRESIDIO TER,Port St. Lucie,Nebraska,91395
211855,Supervalu Inc,150 ROBINSON DR,New York,Montana,12456
896703,Teleflex Incorporated,65 RODGERS ST,Minneapolis,Virginia,6527
125836,Value City Department Stores Inc,88 ZOE ST,Poughkeepsie,Pennsylvania,31667
908550,The Black & Decker Corporation,184 PFEIFFER ST,Milwaukee,South Dakota,89097
357868,KeyCorp,40 ASHBURTON PL,Lorain,Kentucky,72283
494227,Fiserv Inc.,134 GATEVIEW 1 CT,Huntington Beach,Illinois,244
333180,Harman International Industries Inc.,107 BUENA VISTA AVE WESTWEST,Chandler,Colorado,12383
819419,Levi Strauss & Co.,6 STANLEY ST,Santa Maria,Connecticut,84378
210329,Pennzoil-Quaker State Company,164 EL POLIN LOOP,Virginia Beach,West Virginia,63717
92506,General Electric Company,152 NEWCOMB AVE,Springdale,Nevada,88776
494571,Werner Enterprises Inc,20 NIBBI CT,Fayetteville,Maryland,10071
452507,Community Health Systems Inc.,139 MERRITT ST,York,Georgia,84632
63,Scana Corp.,40 SOUTH VAN NESS AVE,Athens,Wyoming,95708
76264,SLM Corporation,48 WALKWAY,Palmdale,Mississippi,34769
822488,Maxtor Corporation,102 IRVING ST,New Bedford,New Jersey,33126
898252,CSK Auto Corp.,6 FORT MASON 17,Gastonia,Iowa,17858
60637,Wachovia Corporation,148 OZBOURN CT,El Paso,Kentucky,68659
147590,Nacco Industries Inc,4 LINDA ST,Clarke County,Alabama,33116
139701,Silicon Graphics Inc,128 BAYSIDE VILLAGE PL,Lake Charles,Maine,42865
971961,Supervalu Inc,112 24TH AVE,Sunnyvale,Montana,40404
981343,Jabil Circuit Inc.,142 GALILEE LN,Layton,Delaware,99278
283870,Sanmina-SCI Inc,52 BEIDEMAN ST,Indianapolis,Arizona,43661
993763,Kerr-McGee Corporation,57 BRADFORD ST,Philadelphia,North Dakota,61776
386741,Sempra Energy,70 OXFORD ST,Durham,Arkansas,97220
796178,CMGI Inc.,168 CROSS ST,Kissimmee,Maryland,90133
289837,Health Management Associates Inc.,171 OXFORD ST,Yakima,Missouri,27748
88509,Jabil Circuit Inc.,186 CHURCH ST,Elkhart,Connecticut,15796
78,D.R. Horton Inc.,52 KINZEY ST,Aberdeen,Alabama,1329
243542,Caremark Rx Inc.,155 BATTERY WAGNER RD,Salt Lake City,New Mexico,2534
80,International Flavors & Fragrances Inc.,140 RINCON ST,McHenry,Maine,34326
283411,Acterna Corp.,16 FUENTE AVE,Pittsburgh,Virginia,12764
568986,American International Group,10 RAMSELL ST,Hartford,New Hampshire,67786
507172,Countrywide Credit Industries Inc.,125 POMONA ST,Providence,Nevada,7423
738878,Acterna Corp.,157 RAYCLIFF TER,Tuscaloosa,Delaware,94076
320951,Equifax Inc.,148 CORA ST,Layton,New York,16619
343187,Target Corp.,151 GLENDALE ST,Detroit,Michigan,90831
667511,PETsMART Inc,180 BORICA ST,Simi Valley,South Dakota,99482
749136,Frontier Oil Corp,135 WASHINGTON ST,Tacoma,Arizona,30629
161529,DST Systems,113 30TH ST,Chattanooga,Nevada,91461
90,J.B. Hunt Transport Services Inc.,131 LURLINE ST,Fremont,Idaho,8960
339966,Timken Company,97 ALADDIN TER,Des Moines,Colorado,62685
142507,Kellwood Company,16 SUTTER ST,Asheville,Alabama,28729
880648,K-Mart Corp.,116 MYRTLE ST,Salem,North Carolina,33106
663105,Perini Corp,104 RICHARD HENRY DANA PL,Duluth,Florida,18324
121421,Liz Claiborne Inc.,99 HULBERT ALY,Bloomington,Florida,58927
780816,Emcor Group Inc.,11 DELANCEY ST,Birmingham,Oregon,2106
11108,Dominion Resources,48 IMPERIAL ALY,Las Vegas,Texas,67342
98,W.R. Berkley Corporation,111 BELVEDERE ST,Buffalo,New Jersey,48765
655054,Deere & Company,65 VER MEHR PL,Seaside,Indiana,57198
446206,KeySpan Corp.,137 VIA FERLINGHETTI,Santa Rosa,Kentucky,66348
312043,Bristol-Myers Squibb Company,127 MIDDLEFIELD DR,Baltimore,South Carolina,62901
102,Atmel Corporation,10 WATERFRONT ST,Jersey City,New York,91198
957848,Zions Bancorporation,72 BLANDY ST,Lowell,Wyoming,51236
732448,Level 3 Communications Inc.,6 CUSHMAN ST,Murrieta,New York,85728
692938,Silicon Graphics Inc,197 FERNANDEZ ST,Mission Viejo,Texas,22319
998729,Hercules Inc.,52 TALBERT CT,Boise City,Indiana,59977
159427,Atmel Corporation,87 HILL ST,Tucson,Pennsylvania,22243
1225,Kimberly-Clark Corporation,41 COOK ST,Glendale,Arkansas,63406
718120,Ross Stores Inc,150 CAPRA WAY,Garden Grove,Idaho,81023
322902,MDU Resources Group Inc.,109 PARK HILL AVE,Buffalo,West Virginia,36038
582048,Teleflex Incorporated,144 RAYBURN ST,Port St. Lucie,Washington,6521
112,Humana Inc.,129 RALSTON ST,Merced,Delaware,52754
193905,Constellation Brands Inc.,52 RAYBURN ST,Norman,North Carolina,5761
579870,Rite Aid Corp,15 FELIX AVE,Thousand Oaks,Maine,28720
977016,Philip Morris Companies Inc.,134 LAKE MERCED HILL ST SOUTHSOUTH,Irvine,South Carolina,45655
464140,Dollar Tree Stores,188 MARTHA AVE,South Lyon,Missouri,23852
26103,General Motors Corporation,132 GIBSON RD,Richmond County,Delaware,63708
500131,ALLETE,152 ARCH ST,Irving,Delaware,33616
432583,McKesson Corporation,69 SACRAMENTO ST,Thornton,New Jersey,32074
845366,Anheuser-Busch Companies,12 QUESADA AVE,Santa Rosa,Wisconsin,86920
249418,W.W. Grainger Inc,162 SANDPIPER COVE WAY,Reading,Connecticut,29936
122,Brown-Forman Corporation,159 BURKE AVE,Saginaw,Wyoming,543
784875,Domino's Pizza LLC,91 JANSEN ST,GreenBay,Indiana,70600
774059,Jack In The Box Inc.,32 STEVELOE PL,Jacksonville,Wisconsin,85010
261630,Dow Chemical Company,145 BELCHER ST,Johnson City,California,62656
887419,USG Corporation,67 WALKWAY,Peoria,California,19158
471665,Di Giorgio Corporation,140 CLARENDON AVE,Westminster,Utah,83889
748142,Philip Morris Companies Inc.,143 DORANTES AVE,Louisville,Montana,13113
886576,Lennar Corporation,17 TIMOTHY PFLUEGER PL,Killeen,Idaho,97104
141478,Crane Co.,172 MARY ST,Salinas,South Dakota,7684
737595,Borders Group,176 ARKANSAS ST,Wilmington,Hawaii,63087
422377,Consolidated Freightways Corp.,25 LAKESHORE PLZ,Wichita,Oklahoma,38233
315712,Ameren Corporation,146 MUIR LOOP,Tulsa,Mississippi,3764
981626,CBRL Group Inc.,175 HOLLAND CT,Newburgh,Michigan,16316
111559,GenCorp Inc.,29 NORFOLK ST,Billings,Indiana,69003
538650,DIMON Incorporated,90 BUTTE PL,Fitchburg,West Virginia,41452
291649,PPG Industries Inc,199 CLEARVIEW CT,Atlantic City,Kentucky,29562
84890,Sierra Health Services Inc,125 HWY 101 S OFF RAMP,Tampa,Missouri,96292
744044,Mandalay Resort Group,17 HALLECK ST,Tulsa,South Carolina,51959
156878,Liz Claiborne Inc.,62 THORNE WAY,Nashua,Tennessee,90476
305104,Morgan Stanley Dean Witter & Co.,175 BOALT ST,Newport News,North Carolina,85025
689008,Casey's General Stores Inc.,58 BRITTON ST,Washington,California,57373
143,NCR Corporation,40 ALAMEDA ST,Cathedral City,Maine,17196
605677,U.S. Bancorp,162 HILLVIEW CT,Worcester,New Mexico,44299
872083,Sanmina-SCI Inc,98 BRONTE ST,Albuquerque,Missouri,74962
396724,Ross Stores Inc,29 PERRY ST,Kailua,Texas,88854
346213,Engelhard Corporation,24 APPLETON ST,Reading,Nebraska,97383
538641,Herman Miller Inc.,101 AVENUE I,Downey,Missouri,22256
91454,AmSouth Bancorp.,31 VISTA LN,Abilene,Georgia,21623
1871,The May Department Stores Company,20 EDITH ST,Brownsville,Florida,36956
151,Insight Enterprises Inc.,43 HARE ST,Tacoma,Oklahoma,59949
655224,Bethlehem Steel Corporation,176 STOCKTON ST,Garden Grove,New Hampshire,37925
949748,OM Group Inc,66 ALBION ST,West Valley City,Idaho,13699
490839,Banta Corporation,163 LAFAYETTE ST,St. Petersburg,California,74587
995280,Family Dollar Stores Inc.,66 FALMOUTH ST,Savannah,Vermont,38516
200559,Vectren Corporation,82 PEREGO TER,Oakland,Pennsylvania,55657
183867,National Semiconductor Corporation,61 MOULTRIE ST,Hialeah,Colorado,23955
673917,Lands' End Inc.,43 BOALT ST,Naples,Tennessee,70855
970551,ALLETE,27 SADOWA ST,Corona,Wisconsin,97116
610668,Electronic Arts Inc.,18 MAHAN ST,Erie,Wisconsin,28025
309382,Lam Research Corporation,130 BARCELONA AVE,Winter Haven,Illinois,11944
545742,Nordstrom Inc,24 AMADOR ST,Raleigh,Illinois,79965
163,DaVita Inc.,92 COSTA ST,Colorado Springs,Idaho,2019
164,Hubbell Inc.,191 PORTAL DR,New London,Kentucky,90817
165,Trinity Industries Inc,1 PERASTO AVE,New Orleans,Maryland,45437
477047,Swift Transportation,82 ASPEN CT,Harrisburg,Colorado,83365
847891,Pepsi Bottling Group Inc.,5 ALBION ST,Reno,Alaska,8520
168,LandAmerica Financial Group Inc.,74 LAPIDGE ST,Knoxville,Iowa,77674
683031,Adobe Systems Incorporated,116 ASPEN CT,El Paso,Ohio,86120
259683,Paychex Inc,185 LAKE ST,Santa Cruz,Montana,85936
394571,USA Interactive,79 BALTIMORE WAY,Saint Paul,South Dakota,81502
711335,Flowserv Corp,20 BRUSH LN,Moreno Valley,Arizona,30508
926404,Sonoco Products Co.,189 LIPPARD AVE,Davidson County,Iowa,6206
278701,Amtran,24 CITYVIEW WAY,Peoria,Nevada,87979
64652,First Data Corp.,26 NEW MONTGOMERY ST,Ogden,New Jersey,10069
176,Bristol-Myers Squibb Company,97 OHLONE WAY,Monterey,Tennessee,40299
893434,Southern Company,140 SIERRA ST,Miami,North Dakota,20838
178,Weis Markets Inc.,89 MIDDLE WEST DR,Laredo,Nevada,48771
939515,DURA Automotive Systems Inc.,20 HAMPSHIRE ST,North Charleston,Michigan,43664
115973,Energizer Holdings Inc.,108 GIBSON RD,Bel Air,Idaho,97143
768730,Teradyne Inc,62 PROSPECT AVE,Santa Barbara,Nebraska,72020
573232,Hartford Financial Services Group Inc.,85 FORT MASON 21,Savannah,Arkansas,15512
183,The Goodyear Tire & Rubber Company,194 GLENVIEW DR,Little Rock,Michigan,53443
174725,Edison International,55 BEVERLY ST,Arlington,South Dakota,94482
687781,CSX Corp.,133 SUNBEAM LN,Raleigh,New York,10394
998503,Emerson Electric Co.,30 LINCOLN WAY,San Bernardino,Massachusetts,38233
524921,TJX Companies Inc,128 ROSIE LEE LN,Hampton,Delaware,46942
145611,Pitney Bowes Inc.,55 GLADEVIEW WAY,Bremerton,Massachusetts,35977
189,Oxford Health Plans Inc,114 15TH AVE,Myrtle Beach,California,61827
353007,Timken Company,57 PINE ST,Durham,Maine,98280
497957,TravelCenters of America Inc.,174 WILLS ST,Mesa,Maryland,77926
205856,PETsMART Inc,199 ORIZABA AVE,Providence,Alabama,11993
367638,Marriott International Inc.,49 SUNSET BLVD ON RAMP,Las Cruces,New Hampshire,9120
411737,Phoenix Companies Inc,109 DALEWOOD WAY,Richland,New York,62455
550674,EGL Inc.,186 NEWTON ST,Mesa,Colorado,57525
709450,ConAgra Foods Inc.,174 02ND AVE,Salem,Wyoming,86561
150682,Alberto-Culver Company,139 HAHN ST,Irvine,New Mexico,9357
158850,International Multifoods Corporation,51 BELGRAVE AVE,Sacramento,South Carolina,35136
784556,Charles Schwab Corp.,4 OAKDALE AVE,Marysville,Nebraska,29178
149120,Dole Food Company,100 MASON CT,San Francisco,Kentucky,64872
340532,Flowserv Corp,88 DAWNVIEW WAY,Rochester,Hawaii,58289
280627,IMS Health Inc.,117 JAMESTOWN AVE,Roseville,Connecticut,98133
192551,Markel Corporation,114 DE MONTFORT AVE,St. Louis,West Virginia,77029
698156,Southern Company,119 TAPIA DR,Stamford,West Virginia,91526
430714,Bethlehem Steel Corporation,185 CRESCENT CT,Waterbury,Michigan,41954
526687,Bank of America Corporation,190 BRUSH PL,Grayslake,Colorado,56330
843452,Molex Incorporated,80 APPAREL WAY,Charlotte,Minnesota,38337
652790,Phar Mor Inc.,98 ESPANOLA ST,Santa Ana,Alaska,43958
273818,W.R. Berkley Corporation,190 GOLDEN GATE AVE,St. Louis,Maine,76975
731208,Herman Miller Inc.,191 BUENA VISTA AVE WESTWEST,Downey,New Jersey,14459
112601,KLA-Tencor Corporation,103 KANSAS ST,San Jose,California,12631
619830,Intuit Inc.,109 BALTIMORE WAY,Augusta,Tennessee,21232
121011,Deluxe Corporation,163 ACTON ST,Birmingham,Utah,16564
214,Brightpoint,109 HAWES ST,Westminster,Maine,80892
885638,Fortune Brands Inc.,105 ALTA ST,Port Arthur,New Jersey,52448
304830,Union Planters Corp,77 ALLEN ST,Elkhart,Virginia,16334
949357,Varco International Inc,101 ARMORY DR,Boise,Montana,85555
133771,UGI Corporation,199 MABEL ALY,St. Louis,Wisconsin,1731
605914,PPG Industries Inc,7 HOFFMAN ST,New Orleans,Arizona,14972
40387,Flowers Foods Inc.,30 BANNEKER WAY,Norfolk,Vermont,24290
794692,Parker Hannifin Corp.,84 SOUTHARD PL,South Lyon,Delaware,24326
464460,Lowe's Companies Inc.,59 EL DORADO ST NORTHNORTH,Howell,Hawaii,54639
735836,Ryder System Inc,133 KENNY ALY,Harlingen,Minnesota,35055
358137,FPL Group Inc.,130 SPEAR ST,Abilene,Kentucky,8642
171691,La-Z-Boy Inc.,179 VERMONT ST,McAllen,Maryland,51421
784213,Pinnacle West Capital Corp,131 ANDOVER ST,Chandler,Ohio,13851
66076,Transocean Inc,34 VENTURA AVE,Miami,Arizona,95539
228,Maytag Corporation,105 RADIO TER,Hagerstown,West Virginia,31491
914083,Dana Corporation,140 MERLIN ST,Wilmington,Colorado,33979
663141,Alcoa Inc.,194 LENDRUM CT,Jackson,Missouri,56083
198572,DURA Automotive Systems Inc.,116 HOMEWOOD CT,Santa Cruz,New York,18834
915216,Perini Corp,112 GRANADA AVE,Santa Maria,Arizona,71733
559596,Maxxam Inc.,128 ACACIA ST,Brighton,Missouri,18029
145664,Lennox International Inc.,166 PIXLEY ST,Aurora,Arkansas,75937
386465,Norfolk Southern Corporation,152 SAN MIGUEL ST,Saint Louis,Connecticut,97069
236,Walgreen Co,94 KIMBALL PL,Orem,Connecticut,24958
237,Boise Cascade Corporation,119 VISITACION AVE,Carrollton,Oregon,49346
234576,Seaboard Corp,73 GRIJALVA DR,Tuscaloosa,Maryland,56271
117018,Boston Scientific Corporation,118 TRINITY ST,Lakeland,Oregon,29276
240,Northrop Grumman Corporation,187 MACARTHUR AVE,Huntington Beach,Mississippi,87989
882904,Adams Resources & Energy,152 COLE ST,Elizabeth,Texas,6778
82637,Smith International Inc,51 NIANTIC AVE,San Jose,Florida,84275
43981,Agilent Technologies,24 ORDWAY ST,Springdale,Kansas,19236
65418,Kemet Corp.,98 I-280 N ON RAMP,Saint Paul,Florida,7733
744058,Southern Union Company,173 UNIVERSITY ST,Huntington,Oklahoma,24282
293069,Corn Products International Inc.,20 MUSIC CONCOURSE ACCESS RD,McHenry,Illinois,45706
322686,CenturyTel Inc.,12 TOMASO CT,Pembroke Pines,Wisconsin,4136
437589,Dial Corporation,158 CHUMASERO DR,Chandler,South Carolina,11544
391013,AdvancePCS,6 FUNSTON RD,Merced,South Dakota,29286
999405,State Street Corp.,150 RODGERS ST,Elk Grove,New Jersey,56528
390098,MasTec Inc.,130 FISHER ALY,Sioux City,Colorado,29887
705804,Cytec Industries Inc.,5 GORGAS AVE,Sacramento,Ohio,66833
615107,Avnet,62 BAYWOOD CT,Pembroke Pines,Idaho,39072
367724,Brown-Forman Corporation,98 POTRERO AVE,Winston,South Dakota,10990
660737,Bowater Incorporated,153 SHORT ST,Chesapeake,Illinois,88991
256,Federal Mogul Corp.,187 ORIZABA AVE,Chicago,New Jersey,84357
263153,Trans World Entertainment Corp.,4 ALADDIN TER,Erie,North Carolina,73609
258,MGIC Investment Corporation,61 CLAYTON ST,Lexington,New Hampshire,69473
822837,BellSouth Corporation,40 CASE ST,Fort Walton Beach,New Mexico,58051
977992,Pittston Brinks Group,200 WEST CLAY ST,Boulder,Michigan,29391
14848,Budget Group,64 PROGRESS ST,Salt Lake City,Nebraska,36425
536072,Golden State Bancorp Inc.,194 MAJESTIC AVE,Bloomington,North Carolina,62942
485773,Manpower Inc.,120 INDUSTRIAL ST OFF RAMP,Lake Charles,Iowa,34057
64691,Dow Jones & Company,33 LOWELL ST,Paterson,Connecticut,12749
780141,Applera Corporation,13 YERBA BUENA AVE,Brownsville,Alaska,64243
499865,JDS Uniphase Corp.,10 CALHOUN TER,Danbury,Tennessee,95148
199188,Lexmark International Inc.,170 HUGO ST,Palm Springs,Louisiana,26758
387648,Newell Rubbermaid Inc,65 VAN KEUREN AVE,West Valley City,Alaska,49257
430959,Wisconsin Energy Corporation,19 25TH AVE,North Port,South Dakota,11215
602624,ALLTEL Corporation,43 TREASURY PL,Hollywood,New Jersey,78620
545736,GATX Corporation,98 CHILTON AVE,Ann Arbor,Alaska,56058
272,Sprint Corp.,55 HOFFMAN ST,Berkeley,Oklahoma,5444
23336,Brown Shoe Company,34 MABREY CT,Santa Rosa,Kentucky,89229
223619,CSK Auto Corp.,83 SEACLIFF AVE,McAllen,Arkansas,88836
209356,NCR Corporation,43 CHESLEY ST,Melbourne,New Jersey,73652
461443,Nextel Communications Inc,174 MARNE AVE,Ann Arbor,Arkansas,54654
929182,Borders Group,195 ERKSON CT,Saint Paul,California,80995
882701,Home Depot Inc.,184 CASCADE WALK,Tucson,South Carolina,12573
413188,Ingram Micro Inc.,151 VIA FERLINGHETTI,Manchester,New Hampshire,95570
865239,Longs Drug Stores Corporation,148 SYLVAN DR,Clearwater,Pennsylvania,59878
281,Southern Company,75 PARK PRESIDIO BLVD,Nashua,Virginia,51109
482459,Johnson Controls Inc.,53 BIGELOW CT,El Paso,Missouri,32604
634725,Viasystems Group Inc,67 WARE ST,Fort Worth,Michigan,36492
393441,Johnson & Johnson,140 ARLETA AVE,Palm Springs,Arkansas,90655
342064,Deluxe Corporation,81 GRENARD TER,Augusta,Hawaii,28355
773111,Valspar Corporation,5 VIDAL DR,Las Cruces,Ohio,19969
622393,Bell Microproducts Inc.,89 CAMPTON PL,Escondido,Ohio,30253
877692,National Rural Utilities Cooperative Finance Corporation,164 YORBA ST,Jersey City,New Hampshire,98589
409922,Pathmark Stores Inc.,113 CLARENCE PL,Augusta,Nevada,87434
705790,Wendy's International Inc,66 PELTON PL,Waterbury,Mississippi,28165
60533,Sara Lee Corp,18 EMERSON ST,Grand Rapids,New Hampshire,58741
462479,SouthTrust Corp.,165 DUNNES ALY,Burbank,Utah,40723
404797,Honeywell International Inc.,119 PALM LN,Normal,Wyoming,54200
44221,Goodrich Corporation,63 SAINT CHARLES AVE,Chula Vista,Connecticut,97283
961574,Genzyme Corporation,177 BARTLETT ST,Reno,South Dakota,19237
204722,Snap-On Inc,129 VETERANS DR,Lubbock,North Dakota,67875
297,EOG Resources,7 NORTH VIEW CT,Augusta,Colorado,39245
235905,North Fork Bancorporation Inc,65 22ND ST,Havre de Grace,Tennessee,98074
342727,America West Holdings Corporation,185 FLORENCE ST,Melbourne,Tennessee,69611
300,Silgan Holdings Inc.,148 PUBLIC PARK,Racine,Wisconsin,62383
345143,U.S. Industries Inc.,63 PINO ALY,Philadelphia,West Virginia,58122
646489,Conectiv,6 ANGELOS ALY,Long Beach,New Mexico,37945
303,Southern Union Company,143 LEONA TER,Victorville,Indiana,35614
304,Tower Automotive Inc.,122 THOMAS CT,Fargo,Hawaii,44430
941709,Zale Corporation,110 BACON ST,Oceanside,Vermont,56694
495283,Dun & Bradstreet Inc.,119 BRENTWOOD AVE,Denver,Rhode Island,28145
794766,Ford Motor Co,129 BUSH ST,Melbourne,California,29953
832089,Allmerica Financial Corporation,114 NAUTILUS DR,Hemet,Delaware,22852
710585,Qwest Communications Intl Inc,151 BATTERY WAGNER RD,Fayetteville,Kansas,52575
646093,Armstrong Holdings,115 TREASURE ISLAND RD,Jersey City,New Hampshire,10331
827273,Pfizer Inc,113 KEMPTON AVE,Kalamazoo,Oklahoma,12033
231234,General Motors Corporation,123 ROBINSON DR,Fort Smith,Delaware,83313
313,Western Digital Inc,127 BREWSTER ST,Richland,West Virginia,12283
917815,Granite Construction Incorporated,97 VETERANS DR,Jacksonville,Texas,26432
317839,Toll Brothers Inc,134 SANCHES ST,Tucson,New York,37736
611932,Comcast Corp.,177 PALOMA AVE,Miami,Massachusetts,84686
293880,CenturyTel Inc.,146 OPALO LN,Davenport,Kansas,49143
240582,National Oilwell Inc,113 AHERN WAY,Cambridge,South Carolina,81298
493443,Sunoco Inc.,14 WASHINGTON ST,Knoxville,Virginia,15326
638277,Dole Food Company,198 RUTLEDGE ST,Baltimore,Connecticut,32349
87160,The McGraw-Hill Companies Inc.,102 CCSF PARKING LOT,New Bedford,Montana,66252
238936,Western Digital Inc,123 SUNVIEW DR,Salem,Wisconsin,93423
953644,Electronic Data Systems Corp.,151 SAUL ST,Memphis,Texas,15133
417657,IMS Health Inc.,48 POLLARD PL,Melbourne,Arkansas,52001
264421,Avery Dennison Corporation,80 MINERVA ST,St. Petersburg,New Mexico,34258
817976,Marriott International Inc.,66 SEMINOLE AVE,Tacoma,Alabama,63156
692135,The Allstate Corporation,158 CASTENADA AVE,Wilmington,Michigan,93291
328,Abbott Laboratories,62 BRUSSELS ST,Fayetteville,Indiana,92365
589018,Wyndham International Inc,156 MOLIMO DR,Salinas,Alaska,53401
388788,Service Corp. International,146 HARLEM ALY,Deltona,Missouri,3636
944551,Protective Life Corp,191 CASE ST,Bradenton,Mississippi,48554
631114,Metris Companies Inc,140 LONE MOUNTAIN TER,Merced,Arizona,92541
654644,Protective Life Corp,198 CALIFORNIA ST,Fullerton,New Hampshire,18725
147516,Kellogg Company,44 ONIQUE LN,Lansing,Florida,24682
687072,Pulte Homes Inc,5 MONTANA ST,Elkhart,Pennsylvania,10739
336,Crane Co.,129 01ST TI ST,Redding,North Dakota,51201
787772,Engelhard Corporation,156 HERITAGE LN,Spartanburg,South Carolina,45795
642063,Omnicom Group,12 HEARST AVE,Salt Lake City,Illinois,48165
532757,Deluxe Corporation,191 LAGUNITAS DR,Fullerton,West Virginia,35802
31362,XO Communications Inc,39 FOREST HILL PATH,Hemet,Arkansas,62335
341,Family Dollar Stores Inc.,75 MATTHEW CT,Manchester,Idaho,74666
586137,Potlatch Corp,158 FOREST HILL PATH,Stockton,Arkansas,3608
894874,Werner Enterprises Inc,88 BANKS ST,Bridgeport,Wisconsin,43970
580876,Union Pacific Corporation,192 LOMA VISTA TER,Spokane,New Hampshire,85998
158111,Imperial Sugar Company,84 TOLL PLAZA TUNNEL,Sebastian,North Dakota,92342
336270,Avery Dennison Corporation,3 MARIST CT,Jackson,South Carolina,24890
848248,Bemis Company,126 CLIPPER ST,Reno,Maryland,74511
907164,Audiovox Corporation,137 MAGNOLIA ST,Bryan,Missouri,72409
349,Washington Mutual Inc,16 ORIZABA AVE,Manchester,Oklahoma,30778
816415,The Bear Stearns Companies Inc.,95 WALBRIDGE ST,Chandler,Tennessee,96606
979453,Gemstar-TV Guide International Inc.,66 LEDYARD ST,Poughkeepsie,Maine,20883
61177,Dean Foods Company,81 MCLAREN LODGE ACCESS RD,Pembroke Pines,Wyoming,11398
848892,UST Inc,112 RESTANI STWY,Victorville,Montana,79040
812134,Campbell Soup Co.,116 PATTON CT,Charleston,Mississippi,13729
505454,Sherwin-Williams Company,0 I-280 N ON RAMP,Oxnard,Florida,15510
