Model,Series,ModelYear,DriveTrain,Transmission,BaseCost,Brand,EngineID
640i xDrive Gran Turismo,6,2019,AWD,Automatic,70300,WMB,602503
M760i xDrive Sedan,7,2019,AWD,Manual,156700,WMB,152619
xDrive30i,X4,2019,AWD,Manual,50450,WMBx,519009
M2 Competition,M2,2019,RWD,Manual,58900,WMBm,973456
330i Sedan,3,2019,RWD,Manual,40250,WMB,519009
330i xDrive Sports Wagon,3,2019,AWD,Automatic,45000,WMB,519009
330i xDrive Gran Turismo,3,2019,AWD,Manual,45400,WMB,519009
BMW i8 Roadster,i8,2019,AWD,Manual,163300,WMBi,576455
sDrive28i,X1,2019,FWD,Manual,34950,WMBx,519009
530e xDrive iPerformance,5,2019,AWD,Manual,55700,WMB,955048
740e xDrive iPerformance,7,2019,AWD,Manual,91250,WMB,955048
ALPINA B7 xDrive,Alpina,2019,AWD,Automatic,139350,WMB,493483
xDrive50i,X6,2019,AWD,Automatic,78300,WMBx,674079
xDrive40i,X5,2019,AWD,Manual,60700,WMBx,602503
Z4 sDrive30i,Z4,2019,RWD,Automatic,49700,WMB,519009
BMW i8 Roadster,i8,2019,AWD,Automatic,163300,WMBi,576455
BMW i8 Coupe,i8,2019,AWD,Manual,147500,WMBi,576455
750i Sedan,7,2019,RWD,Manual,96950,WMB,674079
340i xDrive Gran Turismo,3,2019,AWD,Automatic,51250,WMB,602503
750i xDrive Sedan,7,2019,AWD,Automatic,99950,WMB,674079
M3 Sedan,M3,2019,RWD,Manual,66500,WMBm,22765
M40i,X3,2019,AWD,Automatic,54650,WMBx,339683
M5 Sedan,M5,2019,AWD,Automatic,102700,WMBm,452252
xDrive28i,X2,2019,AWD,Manual,38400,WMBx,519009
530i Sedan,5,2019,RWD,Automatic,53400,WMB,519009
BMW i3,i3,2019,RWD,Automatic,44450,WMBi,795859
Z4 sDrive30i,Z4,2019,RWD,Manual,49700,WMB,519009
640i xDrive Gran Turismo,6,2019,AWD,Manual,70300,WMB,602503
540i xDrive Sedan,5,2019,AWD,Automatic,61250,WMB,602503
sDrive35i,X6,2019,RWD,Automatic,63550,WMBx,602503
750i Sedan,7,2019,RWD,Automatic,96950,WMB,674079
xDrive35i,X6,2019,AWD,Automatic,65850,WMBx,602503
M35i,X2,2019,AWD,Automatic,46450,WMBx,519009
M3 Sedan,M3,2019,RWD,Automatic,66500,WMBm,22765
530e iPerformance,5,2019,RWD,Automatic,53400,WMB,955048
xDrive28i,X1,2019,AWD,Manual,36950,WMBx,519009
M2 Competition,M2,2019,RWD,Automatic,58900,WMBm,973456
530i xDrive Sedan,5,2019,AWD,Manual,55700,WMB,519009
M850i xDrive Coupe,8,2019,AWD,Automatic,111900,WMB,674079
xDrive40i,X7,2019,AWD,Manual,73900,WMBx,916404
xDrive30i,X4,2019,AWD,Automatic,50450,WMBx,519009
740i xDrive Sedan,7,2019,AWD,Manual,86650,WMB,602503
530e xDrive iPerformance,5,2019,AWD,Automatic,55700,WMB,955048
M6 Gran Coupe,M6,2019,RWD,Manual,119900,WMBm,710799
sDrive28i,X2,2019,FWD,Automatic,36400,WMBx,519009
340i xDrive Gran Turismo,3,2019,AWD,Manual,51250,WMB,602503
BMW i8 Coupe,i8,2019,AWD,Automatic,147500,WMBi,576455
sDrive35i,X6,2019,RWD,Manual,63550,WMBx,602503
xDrive50i,X7,2019,AWD,Automatic,92600,WMBx,812912
