ManufacturerID,ManufacturerName,ManufacturerStreet,ManufacturerCounty,ManufacturerState,ManufacturerZip
373348,AutoZone,155 EAST BEACH RD,Fremont,Arizona,1270
658143,Exelon Corporation,3 DECKER ALY,College Station,Nevada,69856
461081,The Men's Wearhouse Inc.,141 SAINT ELMO WAY,St. Petersburg,Utah,90150
571353,Maxtor Corporation,22 CAROLINA ST,Springfield,Alaska,88008
719824,The AES Corporation,157 SAN MIGUEL ST,New York City,Missouri,19805
336708,Mariner Health Care Inc.,79 CRESCENT CT,Bonita Springs,Nebraska,61103
866730,Tower Automotive Inc.,112 MELRA CT,Mesquite,Massachusetts,45971
556223,DTE Energy Co.,173 TWIN PEAKS BLVD,Ogden,Massachusetts,9900
977447,Oshkosh Truck Corp,65 FAITH ST,Manchester,Connecticut,71469
221282,Lands' End Inc.,78 VAN BUREN ST,Richmond,Kansas,62006
28873,Union Pacific Corporation,10 RONDEL PL,Birmingham,Missouri,23447
454386,Zions Bancorporation,67 BENGAL ALY,Worcester,New York,79592
987032,Freeport McMoran Copper & Gold Inc.,91 WILLARD ST,Newark,New York,78431
589755,Pride International Inc,120 LOPEZ AVE,Richland,Ohio,3355
907482,Radio Shack Corporation,47 BELLEVUE AVE,Layton,West Virginia,55495
212249,Scholastic Corp,185 MILES CT,Escondido,Michigan,59721
42383,United Auto Group Inc,43 RIVERA ST,Cedar Rapids,Pennsylvania,27971
889247,Health Management Associates Inc.,46 PERSHING DR,Richmond County,West Virginia,92003
437906,StanCorp Financial Group Inc,36 FERNWOOD DR,Lorain,Iowa,48394
706513,Burlington Resources Inc.,110 HWY 101 NORTHBOUND RAMP,Tallahassee,New York,27393
744069,General Dynamics Corporation,49 BIRD ST,Lorain,Connecticut,35813
76451,CMGI Inc.,56 MAGELLAN AVE,Utica,Nevada,33935
795718,PerkinElmer Inc,116 HAVELOCK ST,Spartanburg,Washington,74006
158777,World Fuel Services Corporation,39 NANCY PELOSI DR,Bryan,North Carolina,55864
828337,Walgreen Co,190 MANOR DR,Huntsville,Connecticut,14260
27587,Nabors Industries Inc,124 MCRAE ST,Bakersfield,Missouri,97901
507768,Wellpoint Health Networks Inc,150 LESSING ST,Madison,Montana,15683
139152,Sports Authority Inc,47 SUNGLOW LN,Chesapeake,Florida,41836
555031,Walter Industries Inc,171 TAMPA LN,Newport News,Illinois,50946
708121,Old Republic International Corp.,18 NELSON RISING LN,Grand Prairie,South Carolina,23094
767718,Solectron Corp,190 GREENOUGH AVE,Detroit,Kentucky,4243
137123,Kohl's Corp.,21 AVOCA ALY,Lowell,Texas,4195
789708,Avaya Inc.,117 WATTSON PL,Lacey,Colorado,80611
782348,WPS Resources Corporation,18 LANCASTER LN,Amarillo,Montana,28819
749248,Nortek Inc,49 LOTTIE BENNETT LN,Washington,North Dakota,87050
647462,Marshall & Ilsley Corporation,166 PEABODY ST,Plano,Tennessee,59
22286,Texas Instruments Incorporated,150 BALHI CT,Chula Vista,Tennessee,94578
323564,Questar Corp,57 LUCERNE ST,Aurora,Pennsylvania,72074
647457,Adolph Coors Company,134 LOCKWOOD ST,Laredo,Massachusetts,11260
586565,ABM Industries Incorporated,0 REVERE AVE,GreenBay,Illinois,34528
737411,Quintiles Transnational,74 CHERRY ST,Corona,Arizona,95482
265139,Veritas Software Corporation,158 04TH AVE,Lancaster,Connecticut,24989
630960,Goldman Sachs Group Inc.,180 VON SCHMIDT ST,Atlantic City,Maryland,12441
819499,Echostar Communications Corporation,27 GREELY CT,Macon,Louisiana,92578
546970,E*Trade Group,3 LISBON ST,Sunnyvale,Oklahoma,44602
529940,Raytheon Company,11 NEWBURG ST,Danbury,Wyoming,62917
911827,Marshall & Ilsley Corporation,85 HARDING RD,Garland,California,31282
67014,First National of Nebraska Inc.,33 ANNAPOLIS TER,Nashua,Illinois,76684
364754,Pitney Bowes Inc.,185 DIAMOND HEIGHTS BLVD,Clearwater,South Dakota,43793
797041,Magellan Health Services Inc.,20 FISHER AVE,Cary,Rhode Island,80892
772895,Nextel Communications Inc,187 ADAIR ST,Vancouver,Indiana,86172
907405,Caterpillar Inc.,131 URANUS TER,Minneapolis,Mississippi,11319
887640,CBRL Group Inc.,10 DAVENPORT LN,Muskegon,South Carolina,28405
481481,Leggett & Platt Inc.,170 VARELA AVE,Birmingham,Missouri,28323
879428,Footstar Inc.,134 BLACK PL,Johnson City,Rhode Island,50062
919400,Alleghany Corporation,31 CASTLE ST,Denton,Maine,69067
426977,Entergy Corporation,59 MCRAE LN,Punta Gorda,Oregon,31194
966027,Centex Corp.,12 BEACHMONT DR,Flint,Connecticut,27916
49508,Pennzoil-Quaker State Company,79 MARNE AVE,Fort Lauderdale,Nebraska,12705
683744,Starbucks Corp,111 AVENUE I,Boulder,Delaware,66389
486787,Wm Wrigley Jr Company,181 HERMANN ST,Monterey,Connecticut,19083
800573,OGE Energy Corp,127 COVENTRY CT,Arlington,Kentucky,56835
445507,Harsco Corp.,144 MURRAY ST,Phoenix,California,2539
811012,Federated Department Stores Inc.,194 LA FERRERA TER,Waterbury,Connecticut,29118
130493,Weis Markets Inc.,140 HESTER AVE,Huntsville,New York,67291
590858,RGS Energy Group Inc,18 MISSISSIPPI ST,Tempe,Florida,80340
343574,Benchmark Electronics,22 JACK MICHELINE ALY,Ogden,Colorado,98584
36464,Solectron Corp,22 AHERN WAY,Spokane,Idaho,36586
882711,United Stationers Inc,109 OLIVER ST,High Point,Indiana,70888
649022,Xilinx Inc,155 HAROLD AVE,Moreno Valley,Maine,79038
348058,W.W. Grainger Inc,123 CARD ALY,Santa Clarita,West Virginia,45924
735900,BorgWarner Inc.,61 HAROLD AVE,Cleveland,Wisconsin,95460
613615,Weyerhauser Company,105 16TH ST,Port St. Lucie,Idaho,13255
546399,KeyCorp,68 ROCKRIDGE DR,Glendale,California,78085
454772,The Allstate Corporation,82 JAUSS ST,Inglewood,New Hampshire,92760
250307,Penn Traffic Co.,31 21ST AVE,Oklahoma City,Oklahoma,33612
764299,Black Hills Corporation,132 SKYVIEW WAY,Simi Valley,Rhode Island,37902
23249,Republic Services Inc,176 ARELLANO AVE,Amarillo,Oklahoma,75031
230469,Enterprise Products Partners L.P.,199 RIPLEY ST,Rochester,North Dakota,42352
280626,Wellpoint Health Networks Inc,142 LAURA ST,Savannah,Maine,22687
290696,United Auto Group Inc,200 LAURA ST,Bakersfield,Vermont,52565
313315,KeySpan Corp.,12 ROTTECK ST,Port Orange,Oklahoma,69806
257822,Hughes Supply Inc.,153 17TH AVE,Seaside,Michigan,49543
420614,Eastman Kodak Company,17 BURGOYNE ST,Norwalk,Illinois,88135
855094,Science Applications Intl. Inc.,174 RODGERS ST,Dallas,Iowa,15656
583649,Telephone & Data Systems Inc,151 WARREN DR,Palm Bay,California,70061
600616,Rockwell Automation Inc,137 MONTEREY BLVD,Olympia,Ohio,86615
270071,Deere & Company,107 PARK BLVD,Scottsdale,Mississippi,61995
386653,Ryerson Tull Inc,82 DUNSHEE ST,Louisville,Hawaii,83481
952306,Avaya Inc.,29 ULLOA ST,Houma,Utah,16078
876883,USA Interactive,194 MULFORD ALY,Tyler,Wyoming,65559
621323,Dana Corporation,100 PEABODY ST,Elk Grove,North Dakota,30095
334665,Nextel Communications Inc,132 GREENOUGH AVE,Paterson,California,23390
460570,Caterpillar Inc.,187 GREAT HWY,McAllen,Iowa,81871
205301,Knight-Ridder Inc.,9 MENDELL ST,Fort Worth,Tennessee,85890
906443,Nextel Communications Inc,46 GEORGE CT,Indianapolis,New Jersey,78295
945261,Mattel Inc.,109 HARVARD ST,Mobile,Illinois,45429
532307,Allegheny Energy,134 GARFIELD ST,Norwich,Louisiana,79787
203572,Anixter International Inc.,80 PANAMA ST,Cambridge,Arizona,20021
781037,American Axle & Manufacturing Holdings,188 COLUMBUS AVE,Montgomery,South Carolina,52811
748086,Qwest Communications Intl Inc,50 13TH TI ST,Aberdeen,Michigan,84215
986682,DTE Energy Co.,92 BLAIR TER,Kennewick,Arizona,19494
942603,Solectron Corp,86 LETTUCE LN,Norwalk,Missouri,48306
709217,DTE Energy Co.,180 MAPLE ST,San Buenaventura,West Virginia,19721
424225,Mail-Well Inc.,105 YERBA BUENA RD,Hampton,Louisiana,39782
820200,Lexmark International Inc.,124 26TH ST,Port St. Lucie,Michigan,46506
17629,Emcor Group Inc.,129 FAIR OAKS ST,Dayton,New Jersey,41770
851741,MetLife Inc.,136 LANGTON ST,Phoenix,New Jersey,24656
308619,Computer Sciences Corp.,126 HOWTH ST,Bethlehem,New York,55567
19840,US Oncology Inc,128 AMADOR ST,Monterey,Illinois,32014
520660,Office Depot Inc.,122 JOSIAH AVE,Cathedral City,Nebraska,98893
662908,Northeast Utilities System,165 LAFAYETTE ST,North Charleston,Oklahoma,84331
933763,Electronic Data Systems Corp.,183 SELBY ST,Boulder,Utah,91788
259682,Paychex Inc,154 MARSTON AVE,North Charleston,Maine,2157
438148,Comfort Systems USA Inc.,9 PALM LN,Fort Collins,Wyoming,47650
94160,El Paso Corporation,4 SPENCER ST,Miramar,Colorado,1533
160248,Sonoco Products Co.,110 ICEHOUSE ALY,Clarke County,Hawaii,3840
852743,Conoco Inc,68 ELMIRA ST,Mesa,New Mexico,37876
378068,R.R. Donnelley & Sons Company,96 FORT MASON 9,Fayetteville,New York,33128
125317,CKE Restaurants Inc.,160 RICO WAY,Kansas City,Vermont,93475
299162,Northeast Utilities System,118 MOUNTAIN SPRING AVE,Colorado Springs,North Carolina,32046
451868,AutoZone,160 HARRISON BLVD,Wilmington,Florida,86636
219981,Safeguard Scientifics Inc.,163 PONTIAC ST,Boston,Mississippi,89451
983239,Air Products and Chemicals,124 CUESTA CT,Rochester,North Dakota,68230
456323,CDW Computer Centers Inc.,42 REEVES CT,Aberdeen,Delaware,87021
682352,Dreyer's Grand Ice Cream,64 VILLA TER,Redding,Nevada,19911
507838,Nike Inc,95 ESPANOLA ST,Elk Grove,Michigan,80666
636092,Pep Boys Manny,141 COLUMBUS AVE,Scranton,Iowa,25527
771511,Freeport McMoran Copper & Gold Inc.,146 MORTON ST,Boise City,New Mexico,94886
363476,Briggs & Stratton Corporation,80 EWER PL,San Buenaventura,Nevada,9085
511710,Graybar Electric Company Inc.,19 STERLING ST,Minneapolis,Virginia,39706
243277,Gillette Company,61 MONTECITO AVE,Newport News,Arkansas,24076
875050,Dollar Tree Stores,80 ILLINOIS ST,Waterloo,New Mexico,53649
458098,American Water Works Company,182 FLORENTINE AVE,Hampton,Alabama,29702
291759,Hibernia Corp.,129 DIVISADERO ST,Port St. Lucie,Ohio,96330
301710,Compuware Corp.,151 BAYSIDE DR,Marysville,West Virginia,17327
330748,Graybar Electric Company Inc.,87 COLTON ST,Hialeah,Idaho,66367
634232,Champion Enterprises Inc.,20 LAWTON ST,Riverside,Ohio,67486
478037,Constellation Emergy Group Inc.,2 KANSAS ST,Kansas City,Virginia,13189
772831,Cox Communications Inc.,59 TEMPLE ST,Birmingham,South Dakota,16174
856188,Constellation Brands Inc.,88 ORSI CIR,Yakima,Kansas,29959
275432,Hubbell Inc.,67 CROOK ST,Syracuse,Tennessee,54704
539070,PepsiCo Inc.,66 04TH TI ST,Bel Air,Louisiana,97369
629113,TruServ Corporation,33 LAMSON LN,Houston,Wisconsin,47167
114514,Crane Co.,73 STOCKTON TUNL,Cleveland,Vermont,33471
607200,Dell Computer Corporation,172 WHIPPLE ST,Virginia Beach,New Hampshire,48837
650520,CenturyTel Inc.,189 NORTHWOOD DR,Hayward,Wisconsin,42544
899931,Alberto-Culver Company,90 CORBIN PL,Providence,Nevada,56561
466671,Sonoco Products Co.,44 CHILD ST,Sacramento,California,27873
260883,Aon Corporation,70 FERNWOOD DR,Topeka,Missouri,16218
148206,The Neiman Marcus Group Inc.,181 OLD CHINATOWN LN,Monroe,Vermont,75020
607471,Phar Mor Inc.,89 COUNTRY CLUB DR,Berkeley,Wyoming,43069
88152,PerkinElmer Inc,199 AVENUE H,Savannah,Oklahoma,35020
551044,Park Place Entertainment Corp,100 CUNNINGHAM PL,Saint Petersburg,Hawaii,40645
483277,Whirlpool Corporation,28 FELIX AVE,Concord,Kentucky,35271
66129,Cincinnati Financial Corp.,22 COOPER ALY,Richland,Pennsylvania,60844
871676,Pentair Inc,128 MAYNARD ST,Nashua,Minnesota,98122
397814,Brinker International,177 KEARNY LN,Alexandria,Nevada,83653
193850,Northwest Airlines Corp,175 CHILD ST,El Monte,Louisiana,9801
182103,Wm Wrigley Jr Company,135 RINCON ST,San Diego,Alaska,7311
603075,Great Lakes Chemical Corporation,158 AL SCOMA WAY,Hagerstown,New Mexico,62924
160597,Alaska Air Group,140 MOORE LN,Kissimmee,Iowa,6303
145276,Lear Corporation,193 ROACH ST,Tempe,Alaska,55343
30327,Brightpoint,30 RINGOLD ST,Shreveport,Virginia,62614
732285,Adelphia Communications Corporation,83 ORTEGA ST,Houston,Louisiana,60795
493569,PSS World Medical Inc,50 IOWA ST,Orlando,New Jersey,35927
634374,Hubbell Inc.,10 JOHNSTONE DR,Hagerstown,New York,65976
683249,SunTrust Banks Inc,38 GRATTAN ST,Sarasota,Maryland,95076
132342,SunTrust Banks Inc,106 YACHT RD,Paterson,Washington,73023
879670,Flowserv Corp,193 GREENWICH ST,Inglewood,Maryland,55848
558432,Raytheon Company,81 WABASH TER,Athens,Massachusetts,68202
804776,Electronic Data Systems Corp.,82 WAYNE PL,West Covina,Mississippi,93513
101307,Olin Corp.,6 WHITING ST,Fontana,Maine,56920
273973,American Axle & Manufacturing Holdings,167 04TH AVE,Pomona,Washington,47682
385339,Radio Shack Corporation,184 SOLA AVE,Visalia,Montana,1391
974511,CSK Auto Corp.,156 MILTON ST,Washington,Montana,52798
514672,AMERCO,168 EDDY ST,Corona,Kentucky,74333
17495,Washington Mutual Inc,47 MARION PL,Hampton,Florida,68965
245328,Johnson & Johnson,7 CORBIN PL,Macon,Indiana,62161
324777,Corning Inc.,179 SHOUP AVE,Hagerstown,Tennessee,12283
11547,Werner Enterprises Inc,67 OTTER COVE TER,Yakima,Oregon,18274
500196,Ceridian Corp.,166 MANDALAY LN,Phoenix,Rhode Island,76615
706779,BorgWarner Inc.,157 HARBOR RD,Honolulu,Colorado,6557
434186,M.D.C. Holdings Inc.,62 MCDOWELL AVE,Kenosha,Washington,22238
121236,CDI Corp.,15 CENTURY PL,Saginaw,Massachusetts,15401
400937,The Lubrizol Corporation,178 MARSTON AVE,Milwaukee,Wisconsin,6181
510225,Freeport McMoran Copper & Gold Inc.,188 PEREGO TER,Tacoma,Vermont,35370
912825,Health Management Associates Inc.,147 KENSINGTON WAY,Elk Grove,South Dakota,69979
455869,Interstate Bakeries Corporation,150 CERVANTES BLVD,Fort Collins,California,23012
166624,PolyOne Corp,159 SAN MARCOS AVE,Dayton,Oregon,35264
521222,Capital One Financial Corp.,149 HARPER ST,Marysville,Kentucky,58
374999,The Clorox Co.,104 22ND ST,Garland,South Dakota,58966
194942,URS Corporation,98 TUBBS ST,Santa Cruz,Idaho,2773
926076,Interpublic Group of Companies Inc.,78 CONSERVATORY DR EASTEAST,Columbia,Idaho,33718
214785,Washington Mutual Inc,83 MERCHANT RD,Fargo,Oregon,24732
989826,Quanta Services Inc.,42 ISLAIS ST,Orange,Colorado,84444
410017,Owens Corning,121 CEDRO AVE,Vero Beach,Minnesota,75448
82745,Polo Ralph Lauren Corp,34 MACARTHUR AVE,Atlanta,Alaska,68632
886927,Bank One Corporation,146 RIO VERDE ST,Lake Charles,Arkansas,77828
436012,Visteon Corporation,177 BOYD ST,Overland Park,Georgia,6768
892616,Simon Property Group Inc,199 GORGAS AVE,Youngstown,Texas,10673
625881,First Tennessee National Corp.,27 ELIZABETH ST,Fort Smith,Virginia,33799
301634,Advantica Restaurant Group,43 MARNE AVE,Cincinnati,Indiana,10549
536430,Telephone & Data Systems Inc,104 LANGTON ST,Greensboro,Virginia,55871
847588,Williams Sonoma Inc,158 HWY 1 NORTHBOUND,Port Orange,Oregon,65850
115383,Banknorth Group,177 FARNSWORTH LN,Medford,Minnesota,72708
18335,Hawaiian Electric Industries Inc.,136 FRANCIS ST,Tulsa,South Carolina,81435
427720,Precision Castparts Corp,128 VALE AVE,Roanoke,Maryland,51715
564847,Vishay Intertechnology Inc,192 14TH AVE,Fort Wayne,Rhode Island,78575
666099,The Boeing Company,93 DORE ST,Athens,Georgia,24588
771180,Genesis Health Ventures Inc.,147 DORCAS WAY,Port Arthur,Kansas,70378
473102,Acterna Corp.,95 ALANA WAY,Stockton,Mississippi,53712
312556,Silgan Holdings Inc.,52 BERTHA LN,Waterbury,Colorado,76752
816075,Barnes & Noble,170 LARCH ST,McAllen,North Carolina,85556
251961,Community Health Systems Inc.,174 JANSEN ST,Manchester,Vermont,97342
403871,Whirlpool Corporation,32 03RD TI ST,Palm Bay,Arkansas,34634
788937,Cooper Cameron Corp.,43 PARAISO PL,Apple Valley,Indiana,95686
882054,BMC Software,19 DAGGETT ST,St. Paul,Wisconsin,44304
941337,Phar Mor Inc.,144 SEWARD ST,Winston,Massachusetts,74699
682356,Ball Corporation,127 BROMPTON AVE,Omaha,Connecticut,50294
222131,Micron Technology Inc.,123 GENE FRIEND WAY,St. Louis,Louisiana,62528
338088,Mirant Corporation,147 WOODSIDE AVE,Killeen,Kentucky,18682
400168,Progress Energy Inc,143 DUNSHEE ST,Jefferson,South Dakota,20219
366358,The Boeing Company,160 TOPAZ WAY,Odessa,Maine,97189
214944,LSI Logic Corporation,72 OAKHURST LN,Clarksville,Ohio,93835
498221,Phelps Dodge Corp.,200 MONTEREY BLVD,Stamford,New Mexico,38793
188636,Genesis Health Ventures Inc.,185 LURMONT TER,Kennewick,Missouri,18536
557323,AutoZone,75 WALDO ALY,Howell,Texas,15485
47824,Laboratory Corporation of America Holdings,124 GRANT AVE,Tucson,Wisconsin,85310
533011,Dow Jones & Company,33 LOBOS ST,Philadelphia,Missouri,35678
682276,PolyOne Corp,20 PRAGUE ST,Orange,Oregon,91258
237639,Capital One Financial Corp.,180 MINNA ST,Punta Gorda,New Mexico,41012
849481,Grey Global Group Inc.,115 CARMEL ST,Duluth,New Mexico,80242
737827,Qualcomm Inc,180 LIPPARD AVE,South Bend,Oklahoma,85920
800330,Fairchild Semiconductor International Inc.,20 PALACE DR,Omaha,Connecticut,2201
292580,Praxair Inc,123 JOHN F SHELLEY DR,Clearwater,New York,90297
735263,Micron Technology Inc.,37 WATERVILLE ST,Independence,Nebraska,72644
494717,Energizer Holdings Inc.,109 06TH HP AVE,Oceanside,North Dakota,98009
180823,Huntington Bancshares Inc.,26 GETZ ST,High Point,Oregon,54307
862124,Lennar Corporation,56 WATERVILLE ST,Gulfport-Biloxi,North Carolina,61834
506813,Gateway Inc.,26 CLINTON PARK,Sebastian,Michigan,83023
103642,Robert Half International Inc.,24 TEXAS ST,El Monte,New York,71343
878948,Nike Inc,163 FORT MILEY 7,Lowell,Montana,50920
78806,American Greetings Corporation,110 ALMADEN CT,Rockford,Ohio,54203
306666,Whole Foods Market Inc,155 INDUSTRIAL ST,Jackson,Wyoming,25886
365960,Pentair Inc,134 GEARY BLVD,Charlotte,Montana,91136
596361,Marathon Oil Corporation,76 HOMER ST,Fort Wayne,New Hampshire,27046
371034,Avnet,6 GRENARD TER,Saginaw,Maine,47863
287201,Tribune Company,108 HARRISON ST,Sterling Heights,Wisconsin,97264
67377,Masco Corporation,129 EDITH ST,Harrisburg,Minnesota,46948
330199,Paccar Inc,6 FERN ST,Harrisburg,Kansas,81315
827250,Beverly Enterprises,50 PHELPS ST,New Bedford,Maryland,88614
765013,Quantum Corp,93 BREWSTER ST,Colorado Springs,Connecticut,387
651619,Thermo Electron Corporation,139 23RD AVE,Sacramento,New Jersey,18231
84308,Hollywood Entertainment Corp.,91 TIMOTHY PFLUEGER PL,Independence,California,76528
508235,Grey Global Group Inc.,47 GALVEZ AVE,Mesquite,Oregon,63472
453750,Prudential Financial Inc.,116 MONETA WAY,Ocala,Kentucky,29336
580095,Ruddick Corp,34 ALBERTA ST,Port St. Lucie,New Hampshire,40462
585886,Textron Inc,47 STILWELL RD,Olathe,Maryland,79099
915014,Provident Financial Group,127 DEMING ST,Ogden,Georgia,51475
814143,UnitedHealth Group Incorporated,10 SURREY ST,Layton,Idaho,88616
691712,Golden State Bancorp Inc.,14 OLIVER ST,Lincoln,New York,30021
392105,Texas Instruments Incorporated,169 LAPHAM WAY,Bellevue,Montana,29000
804175,UnumProvident Corporation,134 STONEYFORD AVE,Leominster,California,77671
13297,Whirlpool Corporation,134 EDGAR AVE,Mobile,Texas,39315
213083,Deluxe Corporation,52 FREEMAN CT,Lewisville,Alaska,11305
958246,TruServ Corporation,33 BALDWIN CT,New London,Colorado,91510
8495,Penn Traffic Co.,35 AVENUE H,Sioux Falls,Oregon,15790
203282,M.D.C. Holdings Inc.,157 RICHARDSON AVE,Albany,Arkansas,13992
194775,Golden West Financial Corporation,9 DUNCOMBE ALY,Greensboro,Arkansas,50851
648731,Louisiana-Pacific Corporation,159 CASSANDRA CT,Merced,Texas,72128
364747,Jefferson-Pilot Co.,146 RUSSIA AVE,Bonita Springs,Louisiana,13276
579352,Kemet Corp.,125 LARCH ST,Cary,Kentucky,65117
511106,International Multifoods Corporation,183 CARVER ST,Aberdeen,New Jersey,54318
714380,Paychex Inc,186 BAYWOOD CT,York,South Dakota,50473
624611,The AES Corporation,82 ATHENS ST,Naperville,Vermont,48339
332531,Vectren Corporation,139 FORT MASON 15,Youngstown,Wyoming,45393
310970,Fifth Third Bancorp,114 GRIFFITH ST,Topeka,Mississippi,71504
101675,Pinnacle West Capital Corp,48 URBANO DR,Santa Clarita,Virginia,28306
564167,Seaboard Corp,20 WILLARD ST NORTHNORTH,Cary,Idaho,5603
357266,Mandalay Resort Group,129 THERESA ST,Albuquerque,California,52558
719886,Fortune Brands Inc.,53 GALILEE LN,Lacey,Tennessee,32218
877368,Unisource Energy Corp,74 LINCOLN BLVD,Augusta,Nevada,46585
798088,DynCorp,132 TRINITY ST,Bremerton,Delaware,19208
910393,Hilton Hotels Corp.,76 SLOAN ALY,Santa Rosa,Vermont,68392
364013,Calpine Corp.,73 TEDDY AVE,Kissimmee,Wisconsin,5958
168423,American Financial Group,197 HARLOW ST,Pomona,New Mexico,91079
617465,UnumProvident Corporation,143 NAUMAN RD,Anchorage,Oklahoma,49622
231154,Group 1 Automotive Inc.,162 POWHATTAN AVE,Rancho Cucamonga,New Jersey,16229
223256,Great Plains Energy Inc.,144 MAGNOLIA ST,Fort Lauderdale,Michigan,53259
368702,AutoNation,22 RALEIGH ST,Pittsburgh,Wyoming,78776
92188,Level 3 Communications Inc.,21 MILES ST,Peoria,Michigan,55296
